id,text,timestamp,user_id,username,first_name,last_name
40001,"Current average lending rates on Bitfinex (per diem):\n\nBTC: 5e-05%\nUSD: 0.0211%\nETH: 0.00026%\nLTC: 0.037%\nXMR: 0.00052%",2025-01-28 04:00:00,1001,RektPool,Rekt,Pool
40002,"American",2025-01-28 06:32:00,1002,Mabel,Mabel,""
40003,"BTC/USD Ticker (24H BTC Vol)\nKraken: $103,288 (3,276)\nBitstamp: $103,273 (2,973)\nGemini: $103,279 (1,880)\nBitfinex: $103,430 (1,042)\n-----------------\nVolWgtPr: $103,297 (9,171)\n2025-01-28 05:51:32.001932 UTC",2025-01-28 07:00:00,1001,RektPool,Rekt,Pool
40004,"Binance BTCUSDT Futures Long/Short Ratio of Top Traders:\nBy positions:\nLong: 61.79%\nShort: 38.21%\n\nBy accounts:\nLong: 66.33%\nShort: 33.67%",2025-01-28 08:00:00,1001,RektPool,Rekt,Pool
40005,"$BTC January has been decent but choppy for Bitcoin, so far.\n\nFebruary has historically been the second best month, behind October.\n\nFebruary has been green 10 out of 12",2025-01-28 09:07:00,1003,CryptoAnalyst,Crypto,Analyst
40006,"[GIF: Let's go.]",2025-01-28 10:56:00,1004,Tom,Tom,""
40007,"joking ...150k and then 37k 😅\n180k then 37k 550 days later",2025-01-28 11:00:00,1004,Tom,Tom,""
40008,"Why did nvidia sold their best hardware to a foreign power which was not allowed to have it",2025-01-28 11:20:00,1005,Zeppi,Zeppi,""
40009,"Lower if the 2nd American civil war starts",2025-01-28 11:20:00,1004,Tom,Tom,""
40010,"$$$",2025-01-28 11:20:00,1004,Tom,Tom,""
40011,"After already having made gazillions of money",2025-01-28 11:21:00,1005,Zeppi,Zeppi,""
40012,"It's a good thing though. Competition is healthy.",2025-01-28 11:21:00,1004,Tom,Tom,""
40013,"Even the cleaning staff prob got rich there having stocks of the company",2025-01-28 11:21:00,1005,Zeppi,Zeppi,""
40014,"Nobody wants the US to be the only AI powerhouse",2025-01-28 11:22:00,1004,Tom,Tom,""
40015,"Especially with the current administration in power",2025-01-28 11:22:00,1004,Tom,Tom,""
40016,"So the country that mainly developed the corona virus and faked people dying in the streets to create a global lockdown for two years got ahead in AI ? 🤔 ⚫",2025-01-28 11:24:00,1005,Zeppi,Zeppi,""
40017,"Bet this will end well",2025-01-28 11:24:00,1005,Zeppi,Zeppi,""
40018,"The three big world powers are equally as greasy. It's not going to end well no matter what. Lol",2025-01-28 11:25:00,1004,Tom,Tom,""
40019,"Did trump failed with his > data centers BS already?",2025-01-28 11:26:00,1005,Zeppi,Zeppi,""
40020,"Is it over for USA ?",2025-01-28 11:26:00,1005,Zeppi,Zeppi,""
40021,"Will all those billions laundered through ukraine and ftx be invested in a trump administration or rather the darker deep state which china is a part of?",2025-01-28 11:28:00,1005,Zeppi,Zeppi,""
40022,"Hell xing xing",2025-01-28 11:29:00,1005,Zeppi,Zeppi,""
40023,"Ling ling",2025-01-28 11:29:00,1006,Xing,Xing,""
40024,"Might ask deepfake later",2025-01-28 11:29:00,1005,Zeppi,Zeppi,""
40025,"Xing Xing",2025-01-28 11:30:00,1006,Xing,Xing,""
40026,"Executive in crypto: any crypto with an executive will go to zero. Nothing new move along.",2025-01-28 12:17:00,1007,J117,J,117
40027,"CEO of bitcoin",2025-01-28 12:37:00,1008,digidan,digi,dan
40028,"[GIF: *SIPS MOTHERFUCKINGLY*]",2025-01-28 12:38:00,1008,digidan,digi,dan
40029,"Photo there is no pattern here only randomness",2025-01-28 12:39:00,1009,slop_thought_criminal,slop,criminal
40030,"This book changed my life, and it can change yours too!",2025-01-28 12:42:00,1010,First_lesson_speed,First,lesson
40031,"This book changed my life, and it can change yours too! What book",2025-01-28 15:23:00,1011,Damo_Moo_freeKamala,Damo,Moo
40032,"Bible 👆 ⚫",2025-01-28 15:24:00,1012,dusan_plus_plus,dusan,plus
40033,"i only buy REAL american coins made by true american patriots 👍 🌎",2025-01-28 15:25:00,1013,bardia,bardia,""
40034,"It's an eBook called The Road to Success. It's all about overcoming challenges, staying focused, and achieving your goals. Honestly, it's packed with lessons that helped me personally, and I think it could be super helpful for others too. Let me know if you'd like to know more—I can share the details with you! 👇 ⚫",2025-01-28 15:27:00,1010,First_lesson_speed,First,lesson
40035,"https://x.com/DegenerateNews/status/1884061735608561841?t=iLlMmG_lhfwHEL7DJZf2og&s=09",2025-01-28 15:48:00,1014,keku_from_Babylon,keku,Babylon
40036,"Current average lending rates on Bitfinex (per diem):\n\nBTC: 0.0001%\nUSD: 0.0213%\nETH: 0.00025%\nLTC: 0.01264%\nXMR: 0.00052%",2025-01-28 16:00:00,1001,RektPool,Rekt,Pool
40037,"[Image: Trump's World Liberty Finance just purchased 1,211,316 $MOVE for $940,000 $USD in its first acquisition of the lol]",2025-01-28 16:00:00,1015,Hunakau,Hunakau,""
40038,"Forwarded from @Hunakau\n🇺🇸 United States CB Consumer Confidence (Jan) $USD\n\nActual: 104.1 🔴\nExpected: 105.7\nPrevious: 104.7",2025-01-28 16:02:00,1015,Hunakau,Hunakau,""
40039,"Fed needs to cut",2025-01-28 16:03:00,1011,Damo_Moo_freeKamala,Damo,Moo
40040,"[Video: Minecraft gameplay clip]",2025-01-28 16:16:00,1016,ID,I,D
40041,"lmao https://nypost.com/2025/01/08/business/openais-sam-altm... Funded by Musk",2025-01-28 16:55:00,1017,rocket,rocket,""
40042,"He's got enough money to wage and win a successful smear propaganda war worldwide, Sama is too poor for that",2025-01-28 16:55:00,1017,rocket,rocket,""
40043,"Photo What the fuck are they doing",2025-01-28 16:56:00,1015,Hunakau,Hunakau,""
